,From,To
0,4F2_HUMAN,SLC3A2
1,5HT1A_HUMAN,HTR1A
2,5HT1B_HUMAN,HTR1B
3,5HT1D_HUMAN,HTR1D
4,5HT1E_HUMAN,HTR1E
5,5HT1F_HUMAN,HTR1F
6,5HT2A_HUMAN,HTR2A
7,5HT2B_HUMAN,HTR2B
8,5HT2C_HUMAN,HTR2C
9,5HT3A_HUMAN,HTR3A
10,5HT3B_HUMAN,HTR3B
11,5HT3C_HUMAN,HTR3C
12,5HT3D_HUMAN,HTR3D
13,5HT3E_HUMAN,HTR3E
14,5HT4R_HUMAN,HTR4
15,5HT5A_HUMAN,HTR5A
16,5HT6R_HUMAN,HTR6
17,5HT7R_HUMAN,HTR7
18,5NTD_HUMAN,NT5E
19,A4_HUMAN,APP
20,AA1R_HUMAN,ADORA1
21,AA2AR_HUMAN,ADORA2A
22,AA2BR_HUMAN,ADORA2B
23,AA3R_HUMAN,ADORA3
24,AAA1_HUMAN,SLC7A10
25,AAAT_HUMAN,SLC1A5
26,ABCA1_HUMAN,ABCA1
27,ABCA2_HUMAN,ABCA2
28,ABCA3_HUMAN,ABCA3
29,ABCA4_HUMAN,ABCA4
30,ABCA5_HUMAN,ABCA5
31,ABCA6_HUMAN,ABCA6
32,ABCA7_HUMAN,ABCA7
33,ABCA8_HUMAN,ABCA8
34,ABCA9_HUMAN,ABCA9
35,ABCAC_HUMAN,ABCA12
36,ABCAD_HUMAN,ABCA13
37,ABCB5_HUMAN,ABCB5
38,ABCB9_HUMAN,ABCB9
39,ABCBB_HUMAN,ABCB11
40,ABCC9_HUMAN,ABCC9
41,ABCG2_HUMAN,ABCG2
42,ABCG4_HUMAN,ABCG4
43,ABCG5_HUMAN,ABCG5
44,ACATN_HUMAN,SLC33A1
45,ACE2_HUMAN,ACE2
46,ACES_HUMAN,ACHE
47,ACE_HUMAN,ACE
48,ACH10_HUMAN,CHRNA10
49,ACHA2_HUMAN,CHRNA2
50,ACHA3_HUMAN,CHRNA3
51,ACHA4_HUMAN,CHRNA4
52,ACHA5_HUMAN,CHRNA5
53,ACHA6_HUMAN,CHRNA6
54,ACHA7_HUMAN,CHRNA7
55,ACHA9_HUMAN,CHRNA9
56,ACHA_HUMAN,CHRNA1
57,ACHB2_HUMAN,CHRNB2
58,ACHB3_HUMAN,CHRNB3
59,ACHB4_HUMAN,CHRNB4
60,ACHB_HUMAN,CHRNB1
61,ACHD_HUMAN,CHRND
62,ACHE_HUMAN,CHRNE
63,ACHG_HUMAN,CHRNG
64,ACKR1_HUMAN,ACKR1
65,ACKR2_HUMAN,ACKR2
66,ACKR3_HUMAN,ACKR3
67,ACKR4_HUMAN,ACKR4
68,ACM1_HUMAN,CHRM1
69,ACM2_HUMAN,CHRM2
70,ACM3_HUMAN,CHRM3
71,ACM4_HUMAN,CHRM4
72,ACM5_HUMAN,CHRM5
73,ACTHR_HUMAN,MC2R
74,ACV1B_HUMAN,ACVR1B
75,ACV1C_HUMAN,ACVR1C
76,ACVL1_HUMAN,ACVRL1
77,ACVR1_HUMAN,ACVR1
78,ADA10_HUMAN,ADAM10
79,ADA11_HUMAN,ADAM11
80,ADA12_HUMAN,ADAM12
81,ADA15_HUMAN,ADAM15
82,ADA17_HUMAN,ADAM17
83,ADA18_HUMAN,ADAM18
84,ADA19_HUMAN,ADAM19
85,ADA1A_HUMAN,ADRA1A
86,ADA1B_HUMAN,ADRA1B
87,ADA1D_HUMAN,ADRA1D
88,ADA20_HUMAN,ADAM20
89,ADA21_HUMAN,ADAM21
90,ADA22_HUMAN,ADAM22
91,ADA23_HUMAN,ADAM23
92,ADA28_HUMAN,ADAM28
93,ADA29_HUMAN,ADAM29
94,ADA2A_HUMAN,ADRA2A
95,ADA2B_HUMAN,ADRA2B
96,ADA2C_HUMAN,ADRA2C
97,ADA30_HUMAN,ADAM30
98,ADA32_HUMAN,ADAM32
99,ADA33_HUMAN,ADAM33
100,ADAM2_HUMAN,ADAM2
101,ADAM7_HUMAN,ADAM7
102,ADAM8_HUMAN,ADAM8
103,ADAM9_HUMAN,ADAM9
104,ADCY2_HUMAN,ADCY2
105,ADCY3_HUMAN,ADCY3
106,ADCY5_HUMAN,ADCY5
107,ADCY6_HUMAN,ADCY6
108,ADCY7_HUMAN,ADCY7
109,ADCY9_HUMAN,ADCY9
110,ADRB1_HUMAN,ADRB1
111,ADRB2_HUMAN,ADRB2
112,ADRB3_HUMAN,ADRB3
113,AEGP_HUMAN,MAMDC4
114,AGTR1_HUMAN,AGTR1
115,AGTR2_HUMAN,AGTR2
116,AJAP1_HUMAN,AJAP1
117,ALK_HUMAN,ALK
118,AMD_HUMAN,PAM
119,AMGO1_HUMAN,AMIGO1
120,AMGO2_HUMAN,AMIGO2
121,AMGO3_HUMAN,AMIGO3
122,AMHR2_HUMAN,AMHR2
123,AMNLS_HUMAN,AMN
124,AMPE_HUMAN,ENPEP
125,AMPN_HUMAN,ANPEP
126,ANKH_HUMAN,ANKH
